voltage,time
0.606,46.78504276275635
0.593,46.89016532897949
0.593,46.99527907371521
0.58,47.100292921066284
0.58,47.20540499687195
0.58,47.31049966812134
0.567,47.415589809417725
0.567,47.52080178260803
0.554,47.62586975097656
0.554,47.73108434677124
0.541,47.836135387420654
0.541,47.94130611419678
0.529,48.046501874923706
0.529,48.15159487724304
0.529,48.256707429885864
0.516,48.36190605163574
0.516,48.4669508934021
0.503,48.572041034698486
0.503,48.677106857299805
0.49,48.782164573669434
0.49,48.8872766494751
0.49,48.99242949485779
0.477,49.09747290611267
0.477,49.202715158462524
0.464,49.308130979537964
0.464,49.413041830062866
0.464,49.518001556396484
0.451,49.622899770736694
0.451,49.727768898010254
0.451,49.832642793655396
0.438,49.93751621246338
0.438,50.04346585273743
0.438,50.14860773086548
0.425,50.25365996360779
0.425,50.35889482498169
0.412,50.46391272544861
0.412,50.56899881362915
0.412,50.67401123046875
0.4,50.779102087020874
0.4,50.88414478302002
0.4,50.989232301712036
0.387,51.09432816505432
0.387,51.19938802719116
0.387,51.30450367927551
0.374,51.40959906578064
0.374,51.51471996307373
0.374,51.61994767189026
0.374,51.72495985031128
0.361,51.8301043510437
0.361,51.935378074645996
0.361,52.04075884819031
0.348,52.145813941955566
0.348,52.25090408325195
0.348,52.35594916343689
0.335,52.46106457710266
0.335,52.56619429588318
0.335,52.671250104904175
0.335,52.77636671066284
0.322,52.88147521018982
0.322,52.986571073532104
0.322,53.09161949157715
0.322,53.196683406829834
0.309,53.301814556121826
0.309,53.4070041179657
0.309,53.51211738586426
0.309,53.61723875999451
0.296,53.72234797477722
0.296,53.827502727508545
0.296,53.93260669708252
0.296,54.038041830062866
0.284,54.1431941986084
0.284,54.24831175804138
0.284,54.35338020324707
0.284,54.45826315879822
0.271,54.563170194625854
0.271,54.668046712875366
0.271,54.772921562194824
0.271,54.87779521942139
0.271,54.982685565948486
0.258,55.08782887458801
0.258,55.19305109977722
0.258,55.29817509651184
0.258,55.40345025062561
0.258,55.50846767425537
0.245,55.613609313964844
0.245,55.71862840652466
0.245,55.82372260093689
0.245,55.928831577301025
0.232,56.0341796875
0.232,56.13978815078735
0.232,56.244959354400635
0.232,56.3501079082489
0.232,56.45519971847534
0.219,56.56042695045471
0.219,56.665478229522705
0.219,56.77049493789673
0.219,56.875606536865234
0.219,56.980703592300415
0.219,57.08571410179138
0.206,57.19081139564514
0.206,57.295862913131714
0.206,57.40092635154724
0.206,57.50597071647644
0.206,57.61099863052368
0.206,57.71609711647034
0.193,57.821223735809326
0.193,57.926270723342896
0.193,58.03165006637573
0.193,58.13666558265686
0.193,58.24175834655762
0.193,58.34677505493164
0.18,58.45302152633667
0.18,58.55825996398926
0.18,58.66356158256531
0.18,58.76915454864502
0.18,58.87403893470764
0.18,58.97892379760742
0.18,59.08380389213562
0.168,59.188873529434204
0.168,59.29377245903015
0.168,59.398669958114624
0.168,59.50375270843506
0.168,59.608917236328125
0.168,59.71404409408569
0.168,59.81911516189575
0.155,59.9242217540741
0.155,60.029600858688354
0.155,60.13469171524048
0.155,60.23973250389099
0.155,60.34496474266052
0.155,60.450077295303345
0.155,60.55551552772522
0.155,60.66062593460083
0.142,60.76577711105347
0.142,60.870827436447144
0.142,60.975868940353394
0.142,61.080910205841064
0.142,61.185951709747314
0.142,61.29104256629944
0.142,61.39615559577942
0.142,61.501262187957764
0.142,61.6063117980957
0.129,61.71135115623474
0.129,61.8164758682251
0.129,61.92159938812256
0.129,62.02701735496521
0.129,62.13224172592163
0.129,62.23730158805847
0.129,62.34239649772644
0.129,62.44745898246765
0.129,62.5528028011322
0.116,62.65788745880127
0.116,62.763097047805786
0.116,62.86821174621582
0.116,62.97339582443237
0.116,63.07844018936157
0.116,63.18360185623169
0.116,63.28868556022644
0.116,63.393733739852905
0.116,63.4988157749176
0.116,63.60387849807739
0.103,63.70896911621094
0.103,63.81406378746033
0.103,63.91918635368347
0.103,64.02433323860168
0.103,64.12938618659973
0.103,64.23447775840759
0.103,64.33950638771057
0.103,64.44453048706055
0.103,64.55017852783203
0.103,64.6552984714508
0.103,64.76039481163025
0.103,64.86548137664795
0.09,64.97052597999573
0.09,65.07556557655334
0.09,65.18069505691528
0.09,65.28578424453735
0.09,65.39083671569824
0.09,65.49587607383728
0.09,65.60094809532166
0.09,65.70603537559509
0.09,65.81105589866638
0.09,65.91614484786987
0.09,66.02143263816833
0.09,66.12648129463196
0.09,66.2315764427185
0.077,66.33696484565735
0.077,66.44212079048157
0.077,66.54734373092651
0.077,66.65241265296936
0.077,66.75751185417175
0.077,66.86260318756104
0.077,66.96779608726501
0.077,67.0728976726532
0.077,67.17798900604248
0.077,67.28303933143616
0.077,67.38816118240356
0.077,67.49322271347046
0.077,67.5981559753418
0.077,67.70304775238037
0.077,67.80794191360474
0.077,67.91282987594604
0.064,68.01779699325562
